"id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","date","location","currency","currency_symbol","status","page_count","dish_count"
16650,"","RED STAR LINE - ANTWERPEN - NY","LUNCHEON","COM","EN ROUTE SS ZEELAND","BROADSIDE; ILLUS; COL; 5.5.X 8;","","","1901-2638","1901-11-08","RED STAR LINE ANTWERPEN NY","","","COMPLETE",2,22
16651,"","RED STAR LINE","DINNER","COM","EN ROUTE SS ZEELAND","BROADSIDE; ILLUS; COL; 5 X 8;","","","1901-2639","1901-11-08","RED STAR LINE","","","UNDER REVIEW",2,22
16652,"","OCEANIC STEAMSHIP COMPANY","LUNCHEON","COMMERCIAL","EN ROUTE ABOARD SONOMA","CARD; 5.5 X 7;","","LOGO; MENU STATES TIME AND NOTES ONE BUGLE CALL;","1901-1250","1901-05-12","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,36
16653,"","OCEANIC STEAMSHIP COMPANY","LUNCHEON  SECOND CABIN","COMMERCIAL","EN ROUTE ABOARD SONOMA","CARD; 5.5 X 7;","","LOGO;","1901-1251","1901-05-12","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,31
16654,"","OCEANIC STEAMSHIP COMPANY","DINNER  SECOND CABIN","COMMERCIAL","EN ROUTE ABOARD SONOMA","CARD; 5.5 X 7;","","LOGO;","1901-1252","1901-05-12","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,30
16655,"","OCEANIC STEAMSHIP COMPANY","DINNER","COMMERCIAL","EN ROUTE ABOARD SONOMA","CARD; 5.5 X 8.5;","","LOGO; MENU STATES TIME AND TIME OF ""DRESSING BUGLE""","1901-1253","1901-05-12","OCEANIC STEAMSHIP COMPANY","","","COMPLETE",2,36
16657,"","HOTEL MARIE ANTOINETTE","DINNER","COMMERCIAL","NEW YORK NY","BROADSIDE; ILLUS; COL; 6.5X8.75;","OTHER DAILY","A LA CARTE PRICED MENU; HOTEL SEAL AT TOP;","1900-2153","1900-02-26","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,123
16658,"","HAMBURG-AMERIKA LINIE","LUNCH","COMMERCIAL","SCHNELLDAMPFER AUGUSTE VICTORIA","CARD; ILLUS; COL; 5X8;","OTHER DAILY","GERMAN & ENGLISH; MARITIME SKETCH, VINES, FRUITS, ETC. SKETCHES;","1900-2158","1900-02-27","HAMBURG AMERIKA LINIE","","","COMPLETE",2,24
16659,"","TOYO KISEN KAISHA","TIFFIN","COMMERCIAL","EN ROUTE ABOARD SS HONG KONG MARU","BROADSHEET; ILLUS; 6.5 X 7.75;","DAILY MENU","B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;","1900-4371","1900-09-15","TOYO KISEN KAISHA","","","COMPLETE",2,30
16660,"","TOYO KISEN KAISHA","DINNER","COMMERCIAL","EN ROUTE ABOARD SS HONG KONG MARU","BROADSHEET; ILLUS; 6.5 X 7.75;","DAILY MENU","B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;","1900-4372","1900-09-15","TOYO KISEN KAISHA","","","COMPLETE",2,44
16661,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","EN ROUTE ABOARD SSKOBE MARU","BROADSHEET; COL; ILLUS; 10.25 X 9.5;","DAILY MENU","HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM; MAP OF STEAMSHIP ROUTES ON BACK;","1900-4373","1900-09-15","NIPPON YUSEN KAISHA","","","COMPLETE",2,15
16662,"","NIPPON YUSEN KAISHA","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD SSKOBE MARU","BROADSIDE; 5.5 X 7.75;","DAILY MENU","HANDWRITTEN; RED BORDER;","1900-4374","1900-09-15","NIPPON YUSEN KAISHA","","","COMPLETE",2,21
16663,"","GRANDON HOTEL","SUNDAY DINNER","COMMERCIAL","HELENA MT","FOLDER; ILLUS; COL; 5.0X6.0;","","SPLIT-PEA GREEN PAPER; GOLD EMBOSSING; FANCIFUL CIRCLE IN CENTER OF COVER WITH MOUNTAINS IN BG AND SAILBOAT ON LAKE;","1900-4377","1900-09-16","GRANDON HOTEL","","","UNDER REVIEW",4,34
16664,"","NIPPON YUSEN KAISHA","TIFFIN","COMMERCIAL","EN ROUTE ABOARD SS KOBE MARU","BROADSIDE; 5.5 X 7.75;","DAILY MENU","HANDWRITTEN; GREEN BORDER;","1900-4382","1900-09-16","NIPPON YUSEN KAISHA","","","COMPLETE",2,21
16665,"","TOYO KISEN KAISHA","TIFFIN","COMMERCIAL","EN ROUTE ABOARD SS HONG KONG MARU","BROADSHEET; ILLUS; 6.5 X 7.75;","DAILY MENU","B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;","1900-4384","1900-09-16","TOYO KISEN KAISHA","","","COMPLETE",2,30
16666,"","TOYO KISEN KAISHA","DINNER","COMMERCIAL","EN ROUTE ABOARD SS HONG KONG MARU","BROADSHEET; ILLUS; 6.5 X 7.75;","DAILY MENU","B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;","1900-4385","1900-09-16","TOYO KISEN KAISHA","","","COMPLETE",2,36
16667,"","MAPLEWOOD HOTEL","DINNER","COMMERCIAL","WHITE MOUNTAINS NH","FOLDER; ILLUS; 4.5X6.25;","","ILLUS, WREATH OF MAPLE LEAVES SURROUNDING TREE;","1900-4387","1900-09-16","MAPLEWOOD HOTEL","","","COMPLETE",4,51
16668,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","EN ROUTE ABOARD SS KOBE MARU","BROADSHEET; COL; ILLUS; 10.25 X 9.5;","DAILY MENU","HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM; MAP OF STEAMSHIP ROUTES ON BACK;","1900-4389","1900-09-17","NIPPON YUSEN KAISHA","","","COMPLETE",2,16
16669,"","TOYO KISEN KAISHA","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD SS HONG KONG MARU","BROADSHEET; ILLUS; 6.5 X 7.75;","DAILY MENU","B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;","1900-4390","1900-09-17","TOYO KISEN KAISHA","","","COMPLETE",2,26
16670,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","EN ROUTE ABOARD SS KAMAKURA MARU","BROADSHEET; ILLUS; COL; 10.5 X 9.5;","DAILY","HANDWRITTEN; ILLUSTRATION OF CHILDRENS PARADE; MAP ON BACK OF ROUTES COVERED BY LINE;DIFFERENT MENU FROM 4078;","1900-4079","1900-08-18","NIPPON YUSEN KAISHA","","","COMPLETE",2,18
16671,"","NIPPON YUSEN KAISHA","BREAKFAST","COMMERCIAL","EN ROUTE  SS KAIRGA","BROADSIDE; ILLUS;  5.5 X 7.5;","DAILY","MENU HANDWRITTEN;","1900-4080","1900-08-18","NIPPON YUSEN KAISHA","","","COMPLETE",2,14
16672,"","NIPPON YUSEN KAISHA","TIFFIN","COMMERCIAL","EN ROUTE  SS KAIRGA","BROADSIDE; ILLUS;  5.5 X 7.5;","DAILY","MENU HANDWRITTEN;FLAG;DIFFERENT FROM 4082","1900-4081","1900-08-18","NIPPON YUSEN KAISHA","","","COMPLETE",2,17
16673,"","NIPPON YUSEN KAISHA","TIFFIN","COMMERCIAL","EN ROUTE  SS KAIRGA","BROADSIDE; ILLUS;  5.5 X 7.5;","DAILY","MENU HANDWRITTEN;FLAG;DIFFERENT FROM 4081","1900-4082","1900-08-18","NIPPON YUSEN KAISHA","","","COMPLETE",2,17
16674,"","NIPPON YUSEN KAISHA","BREAKFAST","COMMERCIAL","ABOARD SS KAMAKURA MARU","BROADSIDE; 5.5X7.75;","","FIRST CLASS BILL OF FARE; HAND WRITTEN;","1900-4088","1900-08-19","NIPPON YUSEN KAISHA","","","COMPLETE",2,14
16675,"","NIPPON YUSEN KAISHA","TIFFIN","COMMERCIAL","ABOARD SS KAMAKURA MARU","BROADSIDE; 5.5X7.75;","","HAND WRITTEN;","1900-4090","1900-08-19","NIPPON YUSEN KAISHA","","","COMPLETE",2,19
16676,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","ABOARD SS KASUGA","BROADSHEET; ILLUS; COL; 10.5X9.5;","","HAND WRITTEN; ILLUS, ANCHOR, BOUQUET OF CARNATIONS; STEAMSHIP UNDER WAY; REVERSE SIDE, MAP OF PACIFIC SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;","1900-4094","1900-08-19","NIPPON YUSEN KAISHA","","","COMPLETE",2,14
16677,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","ABOARD SS KAMAKURA MARU","BROADSHEET; ILLUS; COL; 10.5X9.5;","","HAND WRITTEN; ILLUS, BASKET OF CRYSANTHEMUMS; REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;","1900-4095","1900-08-19","NIPPON YUSEN KAISHA","","","COMPLETE",2,16
16678,"","GRAND HOTEL MONT-CERVIN","LUNCH","COMMERCIAL","ZERMATT SWITZERLAND","CARD; 4.0X6.25;","","MENU HAND-WRITTEN/CALLIGRAPHY; IN FRENCH;","1900-4099","1900-08-20","GRAND HOTEL MONT CERVIN","","","COMPLETE",2,8
16679,"","GRAND HOTEL MONT-CERVIN","DINNER","COMMERCIAL","ZERMATT SWITZERLAND","CARD; 4.0X6.25;","","MENU HAND-WRITTEN/CALLIGRAPHY; IN FRENCH;","1900-4100","1900-08-20","GRAND HOTEL MONT CERVIN","","","COMPLETE",2,11
16680,"","NIPPON YUSEN KAISHA","DINNER","COMMERCIAL","ABOARD SS KAMAKURA MARU","BROADSHEET; ILLUS; COL; 10.5X9.5;","","HAND WRITTEN; ILLUS, MOUNT FUJI IN BACKGROUND; SMALL BOAT, BOATMAN WITH POLE, HORSE, 7 PASSENGERS ON LAKE; REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;","1900-4101","1900-08-20","NIPPON YUSEN KAISHA","","","COMPLETE",2,19
16681,"","OCEANIC STEAMSHIP COMPANY - SIERRA","LUNCH","COM","EN ROUTE","BROADSIDE; EMBLEM; 5.25 X 7.25;","","MENU HANDWRITEN","1901-1999","1901-07-22","OCEANIC STEAMSHIP COMPANY SIERRA","","","COMPLETE",2,32
16685,"","OCEANIC STEAMSHIP CO.","LUNCH","COMMERCIAL","EN ROUTE ABOARD SS ZEALANDIA","CARD; 5.25 X 7;","","HANDWRITTEN, LOGO;","1901-2110","1901-08-05","OCEANIC STEAMSHIP CO","","","COMPLETE",2,33
16686,"","OCEANIC STEAMSHIP CO.","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD SS ZEALANDIA","CARD; 5.25 X 7;","","HANDWRITTEN, LOGO;","1901-2111","1901-08-05","OCEANIC STEAMSHIP CO","","","COMPLETE",2,31
16687,"","LOGAN HOUSE","DINNER","COMMERCIAL","ALTOONA PA","CARD; COL; 5.5 X 8.5;","","LOGO; YELLOW STOCK;","1901-2113","1901-08-05","LOGAN HOUSE","","","COMPLETE",2,44
16688,"","LOGAN HOUSE","BREAKFAST","COMMERCIAL","ALTOONA PA","CARD; COL; 5.5 X 8.5;","","LOGO; BLUE STOCK; DATE HANDWRITTEN BY FEB;","1901-2114","1901-08-05","LOGAN HOUSE","","","COMPLETE",2,60
16689,"","LOGAN HOUSE","SUPPER","COMMERCIAL","ALTOONA PA","CARD; 5.5 X 8.5;","","LOGO; DATE HANDWRITTEN BY FEB;","1901-2115","1901-08-05","LOGAN HOUSE","","","COMPLETE",2,64
16691,"","NORDDEUTSCHER LLOYD BREMEN","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF TROPICAL SCENE AND WOMAN IN ARABIC DRESS;SBACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1035","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,76
16692,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF MEN AND WOMEN ON DECK; BACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1036","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,73
16693,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION SHIP AND FRUIT AND WINE; SIMPLER MENU THAN 1901-1036; BACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1037","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,20
16694,"","NORDDEUTSCHER LLOYD BREMEN","MIDDAY DINNER","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF ROCKY SHORE; SIMPLER MENU THAN 1901-1036; BACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1038","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,18
16695,"","NORDDEUTSCHER LLOYD BREMEN","MIDDAY DINNER","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN ONLY; ILLUSTRATION OF STEAMER AND SEAFOOD; SIMPLER MENU THAN 1901-1036; BACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1039","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,17
16696,"","NORDDEUTSCHER LLOYD BREMEN","MIDDAY DINNER","COMMERCIAL","EN ROUTE ABOARD DAMPFER HHMEIER","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN ONLY; ILLUSTRATION OF STEAMER AND SEAFOOD; SIMPLER MENU THAN 1901-1036; BACK OF CARD SET UP FOR USE AS A POST CARD;","1901-1040","1901-04-27","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,11
16697,"","NORDDEUTSCHER LLOYD BREMEN","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SAILING SHIP; AND ROCKY SHORE;BACK OF MENU SET UP AS POST CARD;","1901-1063","1901-04-28","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,78
16698,"","NORDDEUTSCHER LLOYD BREMEN","BREAKFAST","COMMERCIAL","EN ROUTE ABOARD DAMPFER HH MEIER","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN; ILLUSTRATION OF STEAMER AND ROW BOAT; BACK OF MENU SET UP AS POST CARD;","1901-1064","1901-04-28","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,22
16699,"","RED STAR LINE","BREAKFAST","COMMERCIAL","SS ZEELAND","CARD; ILLUS; COL; 5.5X7.75;","","ALSO A POSTCARD; HARBOUR SCENE, SHIP IN PORT, PEOPLE IN DUTCH COSTUME ON SHORE;","1901-2643","1901-11-09","RED STAR LINE","","","COMPLETE",2,20
16700,"","NEW YORK AND PORTO RICO STEAMSHIP CO.","BREAKFAST","COMMERCIAL","SS SAN JUAN","FOLDER; ILLUS; COL; 4.5X6;","","SPANISH & ENGLISH; [DATE & CAPTAIN'S NAME HANDWRITTEN]; COMPANY SEAL ON COVER;","1901-2646","1901-11-10","NEW YORK AND PORTO RICO STEAMSHIP CO","","","COMPLETE",4,57
16701,"","NEW YORK AND PORTO RICO STEAMSHIP CO.","BREAKFAST","COMMERCIAL","SS SAN JUAN","FOLDER; ILLUS; COL; 4.5X6;","","SPANISH & ENGLISH; [DATE & CAPTAIN'S NAME HANDWRITTEN]; COMPANY SEAL ON COVER;","1901-2647","1901-11-12","NEW YORK AND PORTO RICO STEAMSHIP CO","","","COMPLETE",4,51
16702,"","RED STAR LINE","DINNER","COMMERCIAL","SS ZEELAND","CARD; ILLUS; COL; 5X7.75;","","PHOTO OF STEAMSHIP SURROUNDED BY BORDER OF FLOWERS;","1901-2659","1901-11-16","RED STAR LINE","","","COMPLETE",2,22
16703,"","RED STAR LINE","BREAKFAST","COMMERCIAL","SS ZEELAND","CARD; ILLUS; COL; 5X7.75;","","PHOTO OF STEAMSHIP WITH NEARBY ROWBOAT; MENU ALSO A POSTCARD;","1901-2660","1901-11-17","RED STAR LINE","","","COMPLETE",2,18
16704,"","RED STAR LINE","LUNCHEON","COMMERCIAL","SS ZEELAND","CARD; ILLUS; COL; 5X7.75;","","ILLUSTRATION OF STEAMSHIP IN HARBOR, DUTCH PEOPLE ON SHORE; MENU ALSO A POSTCARD;","1901-2661","1901-11-17","RED STAR LINE","","","COMPLETE",2,24
16706,"","NATIONAL HORSE SHOW ASSOCIATION OF AMERICA","COMPLIMENTARY LUNCHEON","OTHER SPECIAL INTEREST GROUP","MADISON SQUARE GARDEN NEW YORK NY","FOLDER; ILLUS; COL; 3.25X5.5;","COMPLIMENTARYTESTIMONIAL","ASSOCIATION SEAL ON COVER;","1901-2663","1901-11-17","NATIONAL HORSE SHOW ASSOCIATION OF AMERICA","","","COMPLETE",4,13
16707,"","OCEANIC STEAMSHIP COMPANY - SONOMA","DINNER","COMMERCIAL","EN ROUTE","BROADSIDE; EMBLEM;5.5 X 7;","","SECOND CABIN;","1901-1376","1901-05-21","OCEANIC STEAMSHIP COMPANY SONOMA","","","COMPLETE",2,24
16708,"","OCEANIC STEAMSHIP COMPANY - SONOMA","DINNER","COMMERCIAL","EN ROUTE","BROADSIDE EMBLEM; 5.5 X 8.5;","DAILY","","1901-1377","1901-05-21","OCEANIC STEAMSHIP COMPANY SONOMA","","","COMPLETE",2,31
16709,"","WESTMINSTER HOTEL","BREAKFAST","COMMERCIAL","","CARD; 4,5X7.25;","","NO INDICATION OF LOCATION;","1901-1387","1901-05-22","HOTEL WESTMINSTER","","","COMPLETE",2,64
16710,"","WESTMINSTER HOTEL","LUNCHEON","COMMERCIAL","","CARD; ILLUS; 4X6.75;","","NO INDICATION OF LOCATION; DECORATIVE DESIGN AROUND HOTEL NAME;","1901-1388","1901-05-22","HOTEL WESTMINSTER","","","COMPLETE",2,57
16711,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","EN ROUTE ABOARD DAMPFER BARBAROSSA","CARD; COL; ILLUS; 5.5 X 8;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMER IN PORT; BACK OF MENU SET UP AS POST CARD;","1901-1066","1901-04-28","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,79
16712,"","NORDDEUTSCHER LLOYD BREMEN","DINNER","COM","EN ROUTE ABOARD BARBAROSSA","CARD; ILLUS; COL; 5.25 X 8.25;","","MENU IN BOTH GERMAN & ENGLISH;","1901-1069","1901-04-28","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",4,30
16714,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COM","EN ROUTE SSBARBAROSSA","CARD; ILLUS; COL; 5.25 X 8.25;","","MENU IN BOTH GERMAN & ENGLISH;","1901-1076","1901-04-29","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,59
16715,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COM","EN ROUTE SSBARBAROSSA","CARD; ILLUS; COL; 5.25 X 8.25;","","MENU IN BOTH GERMAN & ENGLISH;","1901-1077","1901-04-29","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,26
16716,"","NORDDEUTSCHER LLOYD BREMEN","DINNER","COMMERCIAL","EN ROUTE ABOARD SS FRIEDRICH DER GROSSE","FOLDER; COL; ILLUS; 5.5 X 7.5;","","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SHIP AND FRIEDRICH DER GROSSE (?); MUSICAL PROGRAM;","1901-2240","1901-07-30","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",4,38
16718,"","PENNSYLVANIA LIMITED","DINNER","COMMERCIAL","THE PULLMAN COMPANY  EN ROUTE","CARD; 4.75 X 6.5;","","PRIX FIXE MENU;","1901-2245","1901-08-31","PENNSYLVANIA LIMITED THE PULLMAN CO","","","COMPLETE",2,32
16719,"","PENNSYLVANIA LIMITED","BREAKFAST","COMMERCIAL","THE PULLMAN COMPANY  EN ROUTE","CARD; 4.75 X 6.5;","","PRIX FIXE MENU;","1901-2247","1901-09-01","PENNSYLVANIA LIMITED","","","COMPLETE",2,28
16720,"","PENNSYLVANIA LIMITED","LUNCHEON","COMMERCIAL","THE PULLMAN COMPANY  EN ROUTE","CARD; 4.75 X 6.5;","","PRIX FIXE MENU;","1901-2248","1901-09-01","PENNSYLVANIA LIMITED","","","COMPLETE",2,32
16721,"","UNION PACIFIC","DINNER","COMMERCIAL","THE OVERLAND LIMITED  PULLMAN COMPANY DINING CAR","FOLDER; ILLUS; COL; 5.25 X 7.5;","","PRIX FIXE MENU; ILLUSTRATION OF THE PONY EXPRESS STATION AND RIDER AND SELECTION FROM ROUGHING IT BY MARK TWAIN, CODY'S ADVENTURES, AND INFORMATION ABOUT THE PONY EXPRESS; DATE NOTED BY FEB;","1901-2249","1901-09-01","UNION PACIFIC","","","COMPLETE",2,33
16723,"","UNION PACIFIC","DINNER","COMMERCIAL","THE OVERLAND LIMITED  PULLMAN COMPANY DINING CAR","FOLDER; ILLUS; COL; 5.25 X 7.5;","","PRIX FIXE MENU; ILLUSTRATION OF THE PONY EXPRESS STATION AND RIDER AND SELECTION FROM ROUGHING IT BY MARK TWAIN, CODY'S ADVENTURES, AND INFORMATION ABOUT THE PONY EXPRESS; DATE NOTED BY FEB;","1901-2250","1901-09-01","UNION PACIFIC","","","COMPLETE",2,32
16725,"","DUTCHER HOUSE","DINNER","COMMERCIAL","","CARD; 4.5 X 6.25;","","SECTION OF NEWSPAPER CLIPPING FROM ...YORK MAIL AND EXPRESS DATED SEPT. 7, 1901, AND PHOTO OF TENNIS PLAYER ON BACK;","1901-2252","1901-09-01","DUTCHER HOUSE","","","COMPLETE",2,39
16727,"","BAILEY CATERING CO.","PAN AMERICAN EXPOSITION","COMMERCIAL","BUFFALO NY","CARD; 5.5 X 8.5;","","PRICED MENU; PRICED WINE LIST ON BACK;","1901-2255","1901-09-03","BAILEY CATERING CO","DOLLARS","$","COMPLETE",2,154
16728,"","PENNSYLVANIA LIMITED","LUNCHEON","COMMERCIAL","THE PULLMAN COMPANY  EN ROUTE","CARD; 4.75 X 6.5;","","PRIX FIXE MENU;","1901-2256","1901-09-03","PENNSYLVANIA LIMITED","","","COMPLETE",2,33
16729,"","PENNSYLVANIA LIMITED","DINNER","COMMERCIAL","THE PULLMAN COMPANY  EN ROUTE","CARD; 4.75 X 6.5;","","PRIX FIXE MENU;","1901-2257","1901-09-03","PENNSYLVANIA LIMITED","","","COMPLETE",2,30
16731,"","HAAN'S","DINNER","COMMERCIAL","75TH STREET AND COLUMBUS AVENEW YORKNY","CARD;ILL;COL;7X11;","DAILY","WINE LIST;","1900-1176","1900-02-20","HAANS","DOLLARS","$","COMPLETE",2,353
16732,"","HAAN'S","DINNER","COMMERCIAL","75TH STREET AND COLUMBUS AVENEW YORKNY","FOLDER;ILL;COL;7X11;","DAILY","WINE LIST;A LA CARTE MENU;HANDWRITTEN DATE","1900-1177","1900-02-20","HAANS","DOLLARS","$","COMPLETE",4,508
16733,"","CAFE BOULEVARD","DAILY","COMMERCIAL","156 SECOND AVENUENEW YORKNY","FOLDER;ILL;COL;7X10.5;","DAILY","DAILY SPECIALS ON FRONT COVER WITH MECHANICALLY REPRODUCED HANDWRITTEN ITEMS;PRICE CORRECTIONS ON PRINTED SECTION;WINE LIST WITH SEVERAL CHANGES;","1900-1178","1900-02-20","CAFE BOULEVARD","DOLLARS","$","COMPLETE",4,450
16736,"","HAMBURG-AMERIKA LINIE","DINNER","COMMERCIAL","EN ROUTE ABOARD SCHNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA","FOLDER; ILLUS; 4.75 X 6.75;","","MENU IN GERMAN AND ENGLISH; SCENE OF ALEXANDRIA; MUSCIAL PROGRAM;","1900-2017","1900-02-18","HAMBURG AMERIKA LINIE","","","COMPLETE",4,34
16737,"","HOTEL MARIE ANTOINETTE","DINNER","COMMERCIAL","NEW YORK NY","BROADSIDE; ILLUS; COL; 6.5X8.75;","","A LA CARTE PRICED DINNER MENU; HOTEL SEAL AT TOP OF MENU;","1900-2027","1900-02-22","HOTEL MARIE ANTOINETTE","DOLLARS","$","COMPLETE",2,123
16738,"","HAMBURG-AMERIKA LINIE","MENU","COMMERCIAL","SCHNELLDAMPFER AUGUSTE VICTORIA","BROADSHEET; ILLUS; COL; 9X7;","","GERMAN & ENGLISH; MARITIME SCENE ON COVER; CONCERT PROGRAM ON BACK;","1900-2036","1900-02-22","HAMBURG AMERIKA LINIE","","","COMPLETE",4,20
16739,"","R.M.S. OCEANIC","BREAKFAST","COMMERCIAL","EN ROUTE","CARD; 3.5 X 5;","","SMALL FLAG AND LOGO;","1900-2164","1900-02-27","RMS OCEANIC","","","COMPLETE",2,25
16740,"","R.M.S. OCEANIC","BREAKFAST","COMMERCIAL","EN ROUTE","CARD; 3.5 X 5;","","SMALL FLAG AND LOGO;","1900-2166","1900-02-28","RMS OCEANIC","","","COMPLETE",2,23
16741,"","R.M.S. OCEANIC","DINNER","COMMERCIAL","EN ROUTE","CARD; 4.25 X 6.25","","SMALL FLAG AND LOGO;","1900-2167","1900-02-27","RMS OCEANIC","","","COMPLETE",2,23
16742,"","CUNARD LINE","LUNCHEON","COMMERCIAL","EN ROUTE ON BOARD RMS CAMPANIA","CARD; 4.5 X 6.5;","","PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;","1900-2168","1900-02-28","CUNARD LINE","","","COMPLETE",2,104
16743,"","CUNARD LINE","DINNER","COMMERCIAL","EN ROUTE ON BOARD RMS CAMPANIA","CARD; 4.5 X 6.5;","","PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;","1900-2169","1900-02-27","CUNARD LINE","","","COMPLETE",2,93
16744,"","CUNARD LINE","LUNCHEON","COMMERCIAL","EN ROUTE ON BOARD RMS CAMPANIA","CARD; 4.5 X 6.5;","","PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;","1900-2171","1900-02-28","CUNARD LINE","","","COMPLETE",2,104
16745,"","CUNARD LINE","DINNER","COMMERCIAL","EN ROUTE ON BOARD RMS CAMPANIA","CARD; 4.5 X 6.5;","","PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;","1900-2172","1900-02-28","CUNARD LINE","","","COMPLETE",2,101
16746,"","RED STAR LINE","DINNER","COMMERCIAL","EN ROUTE ABOARD SS WESTERNLAND","CARD; ILLUS; 5 X 8;","","HANDWRITTEN; PRICED WINE LIST ON BACK WITH EXCHANGE RATES FROM FRENCH CURRENCY; DUTCH WOMEN AND CHILDREN LOOKING OUT TO SEA AT STEAMER;","1900-2178","1900-02-27","RED STAR LINE","DOLLARS","$","COMPLETE",2,27
